,ARREST_DATE, TOP_CHARGE_DESCRIPTION,HOME_PSA,CRIME_PSA
58,7/8/17,Aggravated Assault,705,705
59,7/8/17,Assault On A Police Officer (simple Assault),108,District
60,7/8/17,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,703,701
61,7/9/17,Theft Second Degree (all Other Larceny),603,207
62,7/9/17,Theft Second Degree (theft From Building),405,505
63,7/9/17,Theft Second Degree (theft From Building),503,505
64,7/9/17,Affray,608,606
65,7/9/17,Affray,108,606
66,7/9/17,Unlawful Entry,Out of State,505
67,7/10/17,Attempt To Commit Robbery,708,503
68,7/10/17,Theft Second Degree (theft From Building),603,107
69,7/10/17,Theft Second Degree (theft From Building),308,107
70,7/10/17,Shoplifting,707,103
71,7/10/17,Assault With Significant Bodily Injury,507,703
72,7/10/17,Destruction Of Public Property,Unknown,602
73,7/10/17,Fugitive From Justice,Unknown,405
74,7/10/17,Failure To Appear (OAG),104,103
75,7/10/17,Absconder (Custody Order),701,Court
76,7/11/17,Shoplifting,603,409
77,7/11/17,Failure To Appear (OAG),302,302
78,7/12/17,Murder II,604,602
79,7/12/17,Assault With A Dangerous Weapon,Unknown,702
80,7/12/17,Attempt To Commit Robbery,601,308
81,7/12/17,Robbery,707,705
82,7/12/17,Threats To Do Bodily Harm -misd,403,402
83,7/12/17,Simple Assault,604,604
84,7/12/17,Metro - Fail To Pay Fare,603,602
85,7/12/17,Absconder (Custody Order),405,Court
86,7/12/17,Absconder (Custody Order),603,504
87,7/12/17,No Permit,604,602
88,7/13/17,Robbery,505,703
89,7/13/17,Robbery,706,103
90,7/13/17,Theft Second Degree (theft From Building),501,202
91,7/13/17,Theft Second Degree (theft From Building),706,202
92,7/13/17,Simple Assault,603,603
93,7/13/17,Destruction Of Property Less Than $1000,604,604
94,7/13/17,Absconder (Custody Order),608,608
95,7/13/17,Leaving After Colliding - Risk To Others,Out of State,707
96,7/13/17,No Permit,Out of State,207
97,7/13/17,Unlawful Entry,105,105
98,7/14/17,Assault With A Dangerous Weapon,706,604
99,7/14/17,Simple Assault,701,701
100,7/14/17,Metro - Fail To Pay Fare,703,703
101,7/14/17,Unauthorized Use Of A Vehicle,304,301
102,7/14/17,Destruction Of Property Less Than $1000,408,408
103,7/14/17,Absconder (Custody Order),308,District
104,7/14/17,Absconder (Custody Order),704,405
105,7/14/17,No Permit,304,301
106,7/15/17,Shoplifting,Unknown,308
107,7/15/17,Poss Of A Controlled Substance -misd,703,703
108,7/15/17,Bench Warrant,706,703
109,7/15/17,Fugitive From Justice,406,406
110,7/15/17,Tampering Of Gps Device,405,406
111,7/15/17,Attempted - Attempts To Commit Crime.,704,104
112,7/16/17,Robbery,Out of State,305
113,7/16/17,Shoplifting,707,308
114,7/16/17,Shoplifting,701,308
115,7/16/17,Sex Abuse- Misd,507,506
116,7/16/17,Sex Abuse- Misd,Out of State,506
117,7/16/17,Simple Assault,502,502
118,7/16/17,Unlawful Entry,Out of State,602
119,7/17/17,Assault With A Dangerous Weapon,708,708
120,7/17/17,Absconder (Custody Order),106,106
121,7/17/17,Absconder (Custody Order),105,District
122,7/18/17,Theft Second Degree (theft From Building),702,603
123,7/18/17,Assault On A Police Officer (simple Assault),401,401
124,7/18/17,Simple Assault,604,604
125,7/18/17,Absconder (Custody Order),401,401
126,7/18/17,Absconder (Custody Order),606,502
127,7/18/17,Unlawful Entry,702,702
128,7/19/17,Robbery,604,505
129,7/19/17,Tampering With An Automobile,604,604
130,7/19/17,Aggravated Assault,301,303
131,7/19/17,Simple Assault,403,403
132,7/19/17,Unauthorized Use Of A Vehicle,602,304
133,7/19/17,Failure To Appear (USAO),604,Court
134,7/19/17,Absconder (Custody Order),603,608
135,7/20/17,Robbery,702,706
136,7/20/17,Robbery,705,706
137,7/20/17,Robbery,604,604
138,7/20/17,Robbery,602,601
139,7/20/17,Robbery,Out of State,601
140,7/20/17,Assault On A Police Officer (simple Assault),701,701
141,7/20/17,Carry Pistol W/o Lic (misd),604,604
142,7/20/17,Threats To Do Bodily Harm -misd,605,605
143,7/20/17,Metro - Fail To Pay Fare,405,405
144,7/20/17,Unauthorized Use Of A Vehicle,507,406
145,7/20/17,Unauthorized Use Of A Vehicle,Out of State,406
146,7/20/17,Unauthorized Use Of A Vehicle,409,406
147,7/20/17,Unauthorized Use Of A Vehicle,Out of State,406
148,7/20/17,Absconder (Custody Order),305,305
149,7/20/17,Absconder (Custody Order),603,District
150,7/20/17,Absconder (Custody Order),602,District
151,7/21/17,Robbery,603,601
152,7/21/17,Robbery,603,601
153,7/21/17,Unarmed Carjacking,601,107
154,7/21/17,Simple Assault,Out of State,106
155,7/21/17,Poss Of A Controlled Substance -misd,603,302
156,7/21/17,Metro - Fail To Pay Fare,604,608
157,7/21/17,Unauthorized Use Of A Vehicle,Out of State,207
158,7/21/17,Destruction Of Property $1000 Or More,708,708
159,7/21/17,Destruction Of Property Less Than $1000,507,507
160,7/21/17,Absconder (Custody Order),202,Court
161,7/21/17,No Permit,Out of State,207
162,7/22/17,Absconder (Custody Order),708,708
163,7/22/17,Unlawful Entry,702,106
164,7/23/17,Robbery,701,602
165,7/23/17,Robbery,701,602
166,7/23/17,Robbery,405,602
167,7/23/17,Simple Assault,702,702
168,7/23/17,Simple Assault,405,405
169,7/23/17,Metro - Fail To Pay Fare,404,404
170,7/23/17,Receiving Stolen Property-misd,Out of State,704
171,7/23/17,Receiving Stolen Property-misd,704,704
172,7/23/17,Failure To Appear (OAG),708,708
173,7/23/17,Absconder (Custody Order),502,308
174,7/23/17,Unlawful Entry,402,402
175,7/24/17,Robbery,701,408
176,7/24/17,Assault W/i To Commit Robbery (simple Assault),Unknown,504
177,7/24/17,Assault W/i To Commit Robbery (simple Assault),608,504
178,7/24/17,Theft Second Degree (all Other Larceny),305,107
179,7/24/17,Theft Second Degree (all Other Larceny),107,107
180,7/24/17,Assault On A Police Officer (simple Assault),708,302
181,7/24/17,Simple Assault,108,108
182,7/24/17,Simple Assault,607,102
183,7/24/17,Sexual Solicitation,Out of State,603
184,7/24/17,Metro - Fail To Pay Fare,702,703
185,7/24/17,Failure To Appear (OAG),Out of State,603
186,7/25/17,Assault With A Dangerous Weapon,705,705
187,7/25/17,Assault With Significant Bodily Injury,708,708
188,7/25/17,Simple Assault,604,506
189,7/25/17,Simple Assault,501,501
190,7/25/17,Threats To Do Bodily Harm -misd,707,504
191,7/25/17,Simple Assault,706,706
192,7/25/17,Absconder (Custody Order),603,Court
193,7/25/17,Absconder (Custody Order),604,District
194,7/25/17,Absconder (Custody Order),106,106
195,7/25/17,Absconder (Custody Order),405,405
196,7/26/17,Assault On A Police Officer (simple Assault),502,701
197,7/26/17,First Degree Child Sex Abuse (rape),505,603
198,7/26/17,Simple Assault,706,604
199,7/26/17,Distribution Of Marijuana-misd,403,403
200,7/26/17,Distribution Of Marijuana-misd,304,403
201,7/26/17,Destruction Of Property Less Than $1000,606,606
202,7/26/17,Fugitive From Justice,706,Court
203,7/27/17,Theft Second Degree (theft From Motor Vehicle),604,301
204,7/27/17,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,507,308
205,7/27/17,Simple Assault,506,506
206,7/27/17,Threats To Do Bodily Harm -misd,501,501
207,7/27/17,Fugitive From Justice,502,Court
208,7/27/17,Absconder (Custody Order),605,Court
209,7/28/17,Theft (theft From Motor Vehicle),403,403
210,7/28/17,Theft (theft From Motor Vehicle),403,403
211,7/28/17,Simple Assault,603,603
212,7/28/17,No Permit,605,605
213,7/29/17,Robbery,708,602
214,7/29/17,Robbery,608,602
215,7/29/17,Consumption of marijuana in public space prohibited; impairment prohibited,506,506
216,7/29/17,Metro - Fail To Pay Fare,507,102
217,7/29/17,Metro - Fail To Pay Fare,702,102
218,7/29/17,Metro - Fail To Pay Fare,Out of State,102
219,7/29/17,Contempt - Condition Of Release Violation,104,606
220,7/29/17,Absconder (Custody Order),Out of State,Court
221,7/29/17,No Permit,303,405
222,7/30/17,Assault W/i To Commit Robbery (simple Assault),503,307
223,7/30/17,Burglary Two,705,708
224,7/30/17,Destruction Of Property $1000 Or More,608,506
225,7/30/17,Absconder (Custody Order),602,Court
226,7/31/17,Theft Second Degree (all Other Larceny),604,604
227,7/31/17,Simple Assault,601,601
228,7/31/17,Simple Assault,601,601
229,7/31/17,Simple Assault,708,708
230,7/31/17,Unlawful Entry Of A Motor Vehicle,507,507
231,7/31/17,Failure To Appear (OAG),405,702
232,7/31/17,Failure To Appear (OAG),108,108
233,7/31/17,Failure To Appear (OAG),401,506
234,7/31/17,Absconder (Custody Order),402,Court
235,8/1/17,Theft Second Degree (all Other Larceny),706,206
236,8/1/17,Theft Second Degree (all Other Larceny),706,206
237,8/1/17,Destruction Of Property Less Than $1000,701,701
238,8/1/17,Bench Warrant,707,Court
239,8/1/17,Absconder (Custody Order),704,Court
240,8/1/17,Absconder (Custody Order),707,703
241,8/2/17,Robbery,708,602
242,8/2/17,Carry Pistol W/o Lic (misd),Out of State,704
243,8/2/17,Metro - Fail To Pay Fare,604,608
244,8/2/17,Unauthorized Use Of A Vehicle,707,602
245,8/2/17,Failure To Appear (OAG),704,Court
246,8/2/17,Custody Order (Pre-Petition),705,Court
247,8/2/17,Absconder (Custody Order),308,102
248,8/2/17,Absconder (Custody Order),604,604
249,8/3/17,Robbery,606,102
250,8/3/17,Robbery,701,102
251,8/3/17,Robbery,701,102
252,8/3/17,Metro - Fail To Pay Fare,Unknown,703
253,8/3/17,Unauthorized Use Of A Vehicle,402,402
254,8/3/17,Receiving Stolen Property-misd,507,206
255,8/3/17,Absconder (Custody Order),705,705
256,8/3/17,Custody Order (Pre-Petition),707,Court
257,8/3/17,Absconder (Custody Order),701,701
258,8/4/17,Possess Prohibited Weapon,601,602
259,8/4/17,Unauthorized Use Of A Vehicle,503,502
260,8/4/17,Unauthorized Use Of A Vehicle,603,502
261,8/4/17,Unauthorized Use Of A Vehicle,405,502
262,8/4/17,Absconder (Custody Order),706,District
263,8/4/17,No Permit,406,502
264,8/5/17,Assault With A Dangerous Weapon,506,506
265,8/5/17,Assault With A Dangerous Weapon,602,506
266,8/5/17,Assault With A Dangerous Weapon,706,506
267,8/5/17,Simple Assault,608,608
268,8/5/17,Simple Assault,605,605
269,8/5/17,Simple Assault,Unknown,506
270,8/5/17,Simple Assault,506,506
271,8/5/17,Simple Assault,506,506
272,8/5/17,Simple Assault,506,506
273,8/5/17,Gambling,409,404
274,8/5/17,Absconder (Custody Order),706,District
275,8/5/17,Custody Order (Pre-Petition),706,District
276,8/6/17,Assault With A Dangerous Weapon,404,302
277,8/6/17,Assault W/i To Commit Robbery (simple Assault),106,106
278,8/6/17,Burglary Two,204,202
279,8/6/17,Theft First Degree (Stolen Auto),406,303
280,8/6/17,Theft Second Degree (theft From Building),604,101
281,8/6/17,Theft Second Degree (all Other Larceny),604,101
282,8/6/17,Poss Implements Of Crime,406,303
283,8/6/17,Simple Assault,703,701
284,8/6/17,Simple Assault,703,701
285,8/6/17,Metro - Fail To Pay Fare,105,703
286,8/6/17,Destruction Of Property Less Than $1000,602,602
287,8/6/17,Probation Violation (Warrant),708,708
288,8/6/17,Custody Order (Pre-Petition),507,507
289,8/6/17,Absconder (Custody Order),705,703
290,8/7/17,Robbery,703,506
291,8/7/17,Assault On A Police Officer (simple Assault),409,404
292,8/7/17,Simple Assault,705,502
293,8/7/17,Receiving Stolen Property,702,702
294,8/7/17,Absconder (Custody Order),606,608
295,8/8/17,Assault With A Dangerous Weapon,Out of State,107
296,8/8/17,Theft Second Degree (all Other Larceny),705,102
297,8/8/17,Theft Second Degree (all Other Larceny),705,102
298,8/8/17,Theft Second Degree (all Other Larceny),705,101
299,8/8/17,Shoplifting,507,103
300,8/8/17,Distribution Of Marijuana-misd,Out of State,102
301,8/8/17,Unauthorized Use Of A Vehicle,408,404
302,8/8/17,Fugitive From Justice,Unknown,Court
303,8/8/17,Failure To Appear (OAG),701,Court
304,8/8/17,Failure To Appear (OAG),403,708
305,8/8/17,Absconder (Custody Order),Out of State,102
306,8/8/17,Absconder (Custody Order),607,607
307,8/9/17,Robbery,704,604
308,8/9/17,Theft Second Degree (all Other Larceny),403,306
309,8/9/17,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,702,702
310,8/9/17,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,705,702
311,8/9/17,Distribution Of Marijuana-misd,703,607
312,8/9/17,Receiving Stolen Property,404,404
313,8/9/17,Receiving Stolen Property,407,404
314,8/9/17,Receiving Stolen Property,603,701
315,8/9/17,Destruction Of Property Less Than $1000,708,708
316,8/9/17,Gambling,308,305
317,8/9/17,Gambling,308,305
318,8/9/17,Gambling,604,305
319,8/9/17,Fugitive From Justice,Out of State,Court
320,8/10/17,Carjacking,402,402
321,8/10/17,Theft First Degree (all Other Larceny),707,106
322,8/10/17,Simple Assault,704,704
323,8/10/17,Poss W/i To Dist A Controlled Substance,703,District
324,8/10/17,Distribution Of Marijuana-misd,707,705
325,8/10/17,Metro Misconduct-sound,Out of State,103
326,8/10/17,Failure To Appear (OAG),703,703
327,8/10/17,Custody Order (Pre-Petition),Out of State,District
328,8/10/17,Absconder (Custody Order),107,107
329,8/11/17,Possession Of Bb Gun,Out of State,602
330,8/11/17,Simple Assault,704,704
331,8/11/17,Simple Assault,604,604
332,8/11/17,Simple Assault,106,703
333,8/11/17,Poss W/i To Dist A Controlled Substance,Out of State,602
334,8/11/17,Distribution Of A Controlled Substance,502,603
335,8/11/17,Metro - Fail To Pay Fare,701,107
336,8/11/17,Failure To Appear (OAG),403,Court
337,8/11/17,Absconder (Custody Order),106,703
338,8/12/17,Consumption of marijuana in public space prohibited; impairment prohibited,705,308
339,8/12/17,Unauthorized Use Of A Vehicle,605,603
340,8/12/17,Unlawful Entry,703,703
341,8/13/17,Burglary Two,503,505
342,8/13/17,Burglary Two,705,505
343,8/13/17,Theft Second Degree (all Other Larceny),705,105
344,8/13/17,Carry Pistol-prior Fel/cp,603,504
345,8/13/17,Simple Assault,602,602
346,8/13/17,Threats To Do Bodily Harm -misd,607,708
347,8/13/17,Unlawful Entry,702,705
348,8/13/17,Unlawful Entry,704,705
349,8/13/17,Unlawful Entry,Out of State,705
350,8/13/17,Unlawful Entry,704,705
351,8/14/17,Carjacking,402,402
352,8/14/17,Threats To Do Bodily Harm -misd,602,604
353,8/14/17,Metro - Fail To Pay Fare,405,302
354,8/14/17,Absconder (Custody Order),602,Court
355,8/15/17,Assault With A Dangerous Weapon,405,405
356,8/15/17,Robbery,603,603
357,8/15/17,Robbery,704,102
358,8/15/17,Theft Second Degree (all Other Larceny),705,202
359,8/15/17,Assault On A Police Officer (aggravated Assault),603,603
360,8/15/17,Simple Assault,Out of State,405
361,8/15/17,Destruction Of Public Property,602,602
362,8/15/17,Escape From Dyrs,603,603
363,8/15/17,Absconder (Custody Order),506,506
364,8/16/17,Assault With A Dangerous Weapon,602,602
365,8/16/17,Theft Second Degree (all Other Larceny),701,107
366,8/16/17,Theft Second Degree (all Other Larceny),103,107
367,8/16/17,Theft Second Degree (all Other Larceny),Unknown,107
368,8/16/17,Theft Second Degree (all Other Larceny),103,107
369,8/16/17,Theft Second Degree (all Other Larceny),603,107
370,8/16/17,Theft Second Degree (all Other Larceny),704,704
371,8/16/17,Assault On A Police Officer (simple Assault),601,JPC
372,8/16/17,Failure To Appear (OAG),603,District
373,8/16/17,Failure To Appear (OAG),704,District
374,8/17/17,Theft Second Degree (theft From Building),706,706
375,8/17/17,Aggravated Assault,Out of State,JPC
376,8/17/17,Carrying Dangerous Weapon (Outside Home or Place of Business) 2015,403,303
377,8/17/17,Simple Assault,505,505
378,8/17/17,Simple Assault,304,303
379,8/17/17,Simple Assault,Out of State,102
380,8/17/17,Simple Assault,104,506
381,8/17/17,Distribution Of Marijuana-misd,503,504
382,8/17/17,Failure To Appear (USAO),707,Court
383,8/17/17,Fugitive From Justice,707,Court
384,8/17/17,Custody Order (Pre-Petition),704,Court
385,8/17/17,Absconder (Custody Order),603,603
386,8/18/17,CPWOL Outside Home or Business in violation of 2nd Emergency Act of 2014 Act 20-0564,403,406
387,8/18/17,Poss Of A Controlled Substance -misd,308,308
388,8/18/17,Failure To Appear (OAG),602,602
389,8/18/17,Leaving After Colliding- Property Damage,706,705
390,8/19/17,Simple Assault,407,302
391,8/19/17,Unauthorized Use Of A Vehicle,105,105
392,8/20/17,Destruction Of Public Property,704,704
393,8/21/17,Assault W/i To Kill,304,304
394,8/21/17,Assault On A Police Officer (simple Assault),703,703
395,8/21/17,Sex Abuse- Misd,706,JPC
396,8/21/17,Simple Assault,604,604
397,8/21/17,Threats To Do Bodily Harm -misd,506,506
398,8/21/17,Fugitive From Justice,501,703
399,8/21/17,Absconder (Custody Order),704,102
400,8/21/17,Absconder (Custody Order),607,605
401,8/21/17,Absconder (Custody Order),304,504
402,8/21/17,Absconder (Custody Order),706,504
403,8/21/17,Absconder (Custody Order),302,401
404,8/21/17,Unlawful Entry,Unknown,404
405,8/21/17,Unlawful Entry,303,404
406,8/21/17,Disorderly Conduct - Creating Fear (M),604,407
407,8/21/17,Disorderly Conduct - Creating Fear (M),503,407
408,8/22/17,Robbery,601,104
409,8/22/17,Assault On A Police Officer (aggravated Assault),402,402
410,8/22/17,Simple Assault,606,507
411,8/22/17,Unauthorized Use Of A Vehicle,502,507
412,8/22/17,Unauthorized Use Of A Vehicle,504,507
413,8/22/17,Unauthorized Use Of A Vehicle,108,507
414,8/22/17,Failure To Appear (OAG),Out of State,Court
415,8/22/17,Custody Order (Pre-Petition),406,Court
416,8/22/17,Absconder (Custody Order),405,504
417,8/23/17,Theft Second Degree (all Other Larceny),608,608
418,8/23/17,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,507,507
419,8/23/17,Distribution Of A Controlled Substance,706,706
420,8/23/17,Poss W/i To Dist A Controlled Substance,106,106
421,8/23/17,Metro - Fail To Pay Fare,705,105
422,8/23/17,Unlawful Entry Of A Motor Vehicle,Out of State,202
423,8/23/17,Failure To Appear (OAG),607,Court
424,8/23/17,Failure To Appear (OAG),704,Court
425,8/23/17,Absconder (Custody Order),Out of State,District
426,8/24/17,Robbery,607,Court
427,8/24/17,Burglary One,708,708
428,8/24/17,Theft Second Degree (all Other Larceny),504,504
429,8/24/17,Simple Assault,701,105
430,8/24/17,Absconder (Custody Order),705,Court
431,8/25/17,Robbery,106,704
432,8/25/17,Theft Second Degree (all Other Larceny),702,107
433,8/25/17,Assault On A Police Officer (simple Assault),701,701
434,8/25/17,Carry Pistol W/o Lic -outside Home/business,506,507
435,8/25/17,"Lewd, Indecent, Or Obscene Acts (disorderly Conduct)",704,507
436,8/25/17,Consumption of marijuana in public space prohibited; impairment prohibited,501,308
437,8/25/17,Custody Order (Pre-Petition),401,401
438,8/25/17,Absconder (Custody Order),506,507
439,8/25/17,Unlawful Entry,704,704
440,8/26/17,Assault With A Dangerous Weapon,604,604
441,8/26/17,Robbery,602,107
442,8/26/17,Robbery,602,107
443,8/26/17,Theft Second Degree (all Other Larceny),602,202
444,8/26/17,Assault On A Police Officer (simple Assault),Out of State,203
445,8/26/17,Carry Pistol W/o Lic -outside Home/business,701,501
446,8/26/17,Simple Assault,706,706
447,8/26/17,Simple Assault,Out of State,704
448,8/26/17,Destruction Of Property Less Than $1000,405,405
449,8/27/17,Simple Assault,404,404
450,8/27/17,Simple Assault,703,607
451,8/27/17,Simple Assault,703,607
452,8/27/17,Failure To Appear (OAG),107,District
453,8/28/17,Robbery,702,504
454,8/28/17,Robbery,702,504
455,8/28/17,Robbery,606,607
456,8/28/17,Simple Assault,402,403
457,8/28/17,Simple Assault,403,403
458,8/28/17,Metro - Fail To Pay Fare,601,102
459,8/28/17,Unauthorized Use Of A Vehicle,602,507
460,8/28/17,Failure To Appear (OAG),703,District
461,8/28/17,Failure To Appear (OAG),409,Court
462,8/28/17,Failure To Appear (OAG),409,Court
463,8/28/17,Bench Warrant,409,Court
464,8/28/17,Failure To Appear (OAG),702,504
465,8/28/17,Absconder (Custody Order),107,107
466,8/28/17,Absconder (Custody Order),608,501
467,8/29/17,Fourth Degree Sex Abuse- Intoxicant,203,203
468,8/29/17,Threats To Do Bodily Harm -misd,704,704
469,8/29/17,Simple Assault,602,602
470,8/29/17,Absconder (Custody Order),703,603
471,8/29/17,Unlawful Entry,702,106
472,8/30/17,Robbery,604,608
473,8/30/17,Robbery,604,101
474,8/30/17,Theft Second Degree (all Other Larceny),Unknown,404
475,8/30/17,Possession Of Unregistered Ammunition,701,501
476,8/30/17,Threats To Do Bodily Harm -misd,108,306
477,8/30/17,Simple Assault,708,106
478,8/30/17,Absconder (Custody Order),708,708
479,8/30/17,Absconder (Custody Order),Out of State,503
480,8/30/17,Custody Order (Pre-Petition),602,608
481,8/31/17,Robbery,501,501
482,8/31/17,Shoplifting,507,507
483,8/31/17,Shoplifting,507,507
484,8/31/17,Theft First Degree (all Other Larceny),602,104
485,8/31/17,Possession Of Bb Gun,507,104
486,8/31/17,Simple Assault,602,602
487,8/31/17,Fugitive From Justice,Out of State,District
488,8/31/17,Custody Order (Pre-Petition),104,Court
489,8/31/17,Unlawful Entry,602,602
490,9/1/17,Robbery,602,108
491,9/1/17,Burglary Two,106,105
492,9/1/17,Theft Second Degree (theft From Building),702,106
493,9/1/17,Theft Second Degree (theft From Building),603,106
494,9/1/17,Theft Second Degree (theft From Building),702,106
495,9/1/17,Assault On A Police Officer (simple Assault),701,602
496,9/1/17,Poss W/i To Dist A Controlled Substance,603,603
497,9/1/17,Destruction Of Property Less Than $1000,606,106
498,9/1/17,Destruction Of Property Less Than $1000,Unknown,106
499,9/1/17,Fugitive From Justice,501,406
500,9/1/17,Custody Order (Pre-Petition),601,District
501,9/1/17,Absconder (Custody Order),703,504
502,9/1/17,Absconder (Custody Order),606,Court
503,9/2/17,Unauthorized Use Of A Vehicle,608,608
504,9/3/17,Assault With A Dangerous Weapon,502,502
505,9/3/17,Theft Second Degree (theft From Building),105,105
506,9/3/17,Carry Pistol W/o Lic -outside Home/business,604,604
507,9/3/17,Destruction Of Public Property,106,106
508,9/3/17,Absconder (Custody Order),407,404
509,9/4/17,Assault With A Dangerous Weapon,604,604
510,9/4/17,Assault On A Police Officer (simple Assault),705,507
511,9/4/17,Assault On A Police Officer (simple Assault),507,507
512,9/4/17,Assault On A Police Officer (simple Assault),301,305
513,9/4/17,First Degree Child Sex Abuse (rape),108,108
514,9/4/17,Simple Assault,501,501
515,9/4/17,Absconder (Custody Order),704,704
516,9/4/17,Obstructing Justice,107,305
517,9/5/17,Robbery,405,406
518,9/5/17,Robbery,108,108
519,9/5/17,Simple Assault,409,409
520,9/5/17,Distribution Of A Controlled Substance,604,604
521,9/5/17,Failure To Appear (OAG),506,Court
522,9/6/17,Shoplifting,Out of State,204
523,9/6/17,Theft Second Degree (all Other Larceny),603,705
524,9/6/17,Metro - Fail To Pay Fare,603,107
525,9/6/17,Absconder (Custody Order),602,602
526,9/6/17,Absconder (Custody Order),701,Court
527,9/7/17,Theft Second Degree (all Other Larceny),401,507
528,9/7/17,Simple Assault,702,507
529,9/7/17,Simple Assault,103,507
530,9/7/17,Simple Assault,506,607
531,9/7/17,Destruction Of Property $1000 Or More,Unknown,707
532,9/7/17,Absconder (Custody Order),603,Court
533,9/8/17,Sex Abuse- Misd,701,District
534,9/8/17,Threats To Do Bodily Harm -misd,403,404
535,9/8/17,Simple Assault,602,602
536,9/8/17,Simple Assault,706,706
537,9/8/17,Consumption of marijuana in public space prohibited; impairment prohibited,Out of State,207
538,9/8/17,Unauthorized Use Of A Vehicle,409,602
539,9/8/17,Custody Order (Pre-Petition),409,602
540,9/8/17,Absconder (Custody Order),604,104
541,9/9/17,Simple Assault,606,606
542,9/9/17,Metro - Fail To Pay Fare,Out of State,602
543,9/9/17,Absconder (Custody Order),Out of State,District
544,9/9/17,No Permit,507,301
545,9/9/17,Fleeing from a law enforcement officer in a motor vehicle,507,507
546,9/10/17,Simple Assault,307,102
547,9/10/17,Absconder (Custody Order),601,601
548,9/11/17,Armed Carjacking,708,708
549,9/11/17,Simple Assault,703,703
550,9/11/17,Simple Assault,501,501
551,9/11/17,Destruction Of Property Less Than $1000,103,103
552,9/11/17,Absconder (Custody Order),602,602
553,9/12/17,Theft Second Degree (all Other Larceny),Out of State,501
554,9/12/17,Assault On A Police Officer (simple Assault),306,306
555,9/12/17,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,405,106
556,9/12/17,Simple Assault,703,704
557,9/12/17,Simple Assault,306,306
558,9/12/17,Simple Assault,106,306
559,9/12/17,Simple Assault,405,405
560,9/12/17,In A Drug Free Zone,605,605
561,9/12/17,Unauthorized Use Of A Vehicle,706,707
562,9/12/17,Absconder (Custody Order),702,504
563,9/13/17,Murder I,608,506
564,9/13/17,Theft First Degree (all Other Larceny),706,707
565,9/13/17,Simple Assault,108,108
566,9/13/17,Contempt - Misdemeanor,701,701
567,9/13/17,Absconder (Custody Order),703,District
